31.08.01,Акушерство и гинекология,Врач-акушер-гинеколог
31.08.02,Анестезиология - реаниматология,Врач-анестезиолог-реаниматолог
31.08.03,Токсикология,Врач-токсиколог
31.08.04,Трансфузиология,Врач-трансфузиолог
31.08.05,Клиническая лабораторная диагностика,Врач клинической лабораторной диагностики
31.08.06,Лабораторная генетика,Врач-лабораторный генетик
31.08.07,Патологическая анатомия,Врач-патологоанатом
31.08.08,Радиология,Врач-радиолог
31.08.09,Рентгенология,Врач-рентгенолог
31.08.10,Судебно-медицинская экспертиза,Врач-судебно-медицинский эксперт
31.08.11,Ультразвуковая диагностика,Врач-ультразвуковой диагност
31.08.12,Функциональная диагностика,Врач-функциональный диагност
31.08.13,Детская кардиология,Врач-детский кардиолог
31.08.14,Детская онкология,Врач-детский онколог
31.08.15,Детская урология-андрология,Врач-детский уролог-андролог
31.08.16,Детская хирургия,Врач-детский хирург
31.08.17,Детская эндокринология,Врач-детский эндокринолог
31.08.18,Неонатология,Врач-неонатолог
31.08.19,Педиатрия,Врач-педиатр
31.08.20,Психиатрия,Врач-психиатр
31.08.21,Психиатрия-наркология,Врач-психиатр-нарколог
31.08.22,Психотерапия,Врач-психотерапевт
31.08.23,Сексология,Врач-сексолог
31.08.24,Судебно-психиатрическая экспертиза,Врач-судебно-психиатрический эксперт
31.08.25,Авиационная и космическая медицина,Врач по авиационной и космической медицине
31.08.26,Аллергология и иммунология,Врач-аллерголог-иммунолог
31.08.27,Водолазная медицина,Врач по водолазной медицине
31.08.28,Гастроэнтерология,Врач-гастроэнтеролог
31.08.29,Гематология,Врач-гематолог
31.08.30,Генетика,Врач-генетик
31.08.31,Гериатрия,Врач-гериатр
31.08.32,Дерматовенерология,Врач-дерматовенеролог
31.08.33,Диабетология,Врач-диабетолог
31.08.34,Диетология,Врач-диетолог
31.08.35,Инфекционные болезни,Врач-инфекционист
31.08.36,Кардиология,Врач-кардиолог
31.08.37,Клиническая фармакология,Врач-клинический фармаколог
31.08.38,Косметология,Врач-косметолог
31.08.39,Лечебная физкультура и спортивная медицина,Врач по лечебной физкультуре и спортивной медицине
31.08.40,Мануальная терапия,Врач-мануальный терапевт
31.08.41,Медико-социальная экспертиза,Врач-медико-социальный эксперт
31.08.42,Неврология,Врач-невролог
31.08.43,Нефрология,Врач-нефролог
31.08.44,Профпатология,Врач-профпатолог
31.08.45,Пульмонология,Врач-пульмонолог
31.08.46,Ревматология,Врач-ревматолог
31.08.47,Рефлексотерапия,Врач-рефлексотерапевт
31.08.48,Скорая медицинская помощь,Врач скорой медицинской помощи
31.08.49,Терапия,Врач-терапевт
31.08.50,Физиотерапия,Врач-физиотерапевт
31.08.51,Фтизиатрия,Врач-фтизиатр
31.08.52,Остеопатия,Врач-остеопат
31.08.53,Эндокринология,Врач-эндокринолог
31.08.54,Общая врачебная практика (семейная медицина),Врач общей врачебной практики (семейная медицина)
31.08.55,Колопроктология,Врач-колопроктолог
31.08.56,Нейрохирургия,Врач-нейрохирург
31.08.57,Онкология,Врач-онколог
31.08.58,Оториноларингология,Врач-оториноларинголог
31.08.59,Офтальмология,Врач-офтальмолог
31.08.60,Пластическая хирургия,Врач-пластический хирург
31.08.61,Радиотерапия,Врач-радиотерапевт
31.08.62,Рентгенэндоваскулярные диагностика и лечение,Врач по рентгенэндоваскулярным диагностике и лечению
31.08.63,Сердечно-сосудистая хирургия,Врач-сердечно-сосудистый хирург
31.08.64,Сурдология-оториноларингология,Врач-сурдолог-оториноларинголог
31.08.65,Торакальная хирургия,Врач-торакальный хирург
31.08.66,Травматология и ортопедия,Врач-травматолог-ортопед
31.08.67,Хирургия,Врач-хирург
31.08.68,Урология,Врач-уролог
31.08.69,Челюстно-лицевая хирургия,Врач-челюстно-лицевой хирург
31.08.70,Эндоскопия,Врач-эндоскопист
31.08.71,Организация здравоохранения и общественное здоровье,Врач-организатор здравоохранения и общественного здоровья
31.08.72,Стоматология общей практики,Врач-стоматолог
31.08.73,Стоматология терапевтическая,Врач-стоматолог-терапевт
31.08.74,Стоматология хирургическая,Врач-стоматолог-хирург
31.08.75,Стоматология ортопедическая,Врач-стоматолог-ортопед
31.08.76,Стоматология детская,Врач-стоматолог детский
31.08.77,Ортодонтия,Врач-ортодонт
31.08.78,Физическая и реабилитационная медицина,Врач физической и реабилитационной медицины
32.08.01,Гигиена детей и подростков,Врач по гигиене детей и подростков
32.08.02,Гигиена питания,Врач по гигиене питания
32.08.03,Гигиена труда,Врач по гигиене труда
32.08.04,Гигиеническое воспитание,Врач по гигиеническому воспитанию
32.08.05,Дезинфектология,Врач-дезинфектолог
32.08.06,Коммунальная гигиена,Врач по коммунальной гигиене
32.08.07,Общая гигиена,Врач по общей гигиене
32.08.08,Паразитология,Врач-паразитолог
32.08.09,Радиационная гигиена,Врач по радиационной гигиене
32.08.10,Санитарно-гигиенические лабораторные исследования,Врач по санитарно-гигиеническим лабораторным исследованиям
32.08.11,Социальная гигиена и организация госсанэпидслужбы,Врач по социальной гигиене и организации госсанэпидслужбы
32.08.12,Эпидемиология,Врач-эпидемиолог
32.08.13,Вирусология,Врач-вирусолог
32.08.14,Бактериология,Врач-бактериолог
32.08.15,Медицинская микробиология,Врач-медицинский микробиолог
33.08.01,Фармацевтическая технология,Провизор-технолог
33.08.02,Управление и экономика фармации,Провизор-менеджер
33.08.03,Фармацевтическая химия и фармакогнозия,Провизор-аналитик
33.08.04,Радиофармацевтика,Провизор-радиолог
